slug,library_formula,formula_rendered_before_fix
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-1-minus-to-minus-the-minus-4,"(x^3+1)^4","x-to-the-3-+-1-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-1-minus-to-minus-the-minus-5,"(x^2+1)^5","x-to-the-2-+-1-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-1-minus-to-minus-the-minus-5,"(x^2-1)^5","x-to-the-2-1-to-the-5"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-1-minus-to-minus-the-minus-5,"(x^3+1)^5","x-to-the-3-+-1-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-2,"(x^2+2)^2","x-to-the-2-+-2-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-2-minus-to-minus-the-minus-2,"(x^2-2)^2","x-to-the-2-2-to-the-2"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-2-minus-to-minus-the-minus-2,"(x^3+2)^2","x-to-the-3-+-2-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-3,"(x^2+2)^3","x-to-the-2-+-2-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-2-minus-to-minus-the-minus-3,"(x^2-2)^3","x-to-the-2-2-to-the-3"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-2-minus-to-minus-the-minus-3,"(x^3+2)^3","x-to-the-3-+-2-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-4,"(x^2+2)^4","x-to-the-2-+-2-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-2-minus-to-minus-the-minus-4,"(x^2-2)^4","x-to-the-2-2-to-the-4"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-2-minus-to-minus-the-minus-4,"(x^3+2)^4","x-to-the-3-+-2-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-5,"(x^2+2)^5","x-to-the-2-+-2-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-2-minus-to-minus-the-minus-5,"(x^2-2)^5","x-to-the-2-2-to-the-5"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-2-minus-to-minus-the-minus-5,"(x^3+2)^5","x-to-the-3-+-2-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-3-minus-to-minus-the-minus-2,"(x^2+3)^2","x-to-the-2-+-3-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-3-minus-to-minus-the-minus-2,"(x^2-3)^2","x-to-the-2-3-to-the-2"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-3-minus-to-minus-the-minus-2,"(x^3+3)^2","x-to-the-3-+-3-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-3-minus-to-minus-the-minus-3,"(x^2+3)^3","x-to-the-2-+-3-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-3-minus-to-minus-the-minus-3,"(x^2-3)^3","x-to-the-2-3-to-the-3"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-3-minus-to-minus-the-minus-3,"(x^3+3)^3","x-to-the-3-+-3-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-3-minus-to-minus-the-minus-4,"(x^2+3)^4","x-to-the-2-+-3-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-3-minus-to-minus-the-minus-4,"(x^2-3)^4","x-to-the-2-3-to-the-4"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-3-minus-to-minus-the-minus-4,"(x^3+3)^4","x-to-the-3-+-3-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-3-minus-to-minus-the-minus-5,"(x^2+3)^5","x-to-the-2-+-3-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-3-minus-to-minus-the-minus-5,"(x^2-3)^5","x-to-the-2-3-to-the-5"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-3-minus-to-minus-the-minus-5,"(x^3+3)^5","x-to-the-3-+-3-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-4-minus-to-minus-the-minus-2,"(x^2+4)^2","x-to-the-2-+-4-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-4-minus-to-minus-the-minus-2,"(x^2-4)^2","x-to-the-2-4-to-the-2"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-4-minus-to-minus-the-minus-2,"(x^3+4)^2","x-to-the-3-+-4-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-4-minus-to-minus-the-minus-3,"(x^2+4)^3","x-to-the-2-+-4-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-4-minus-to-minus-the-minus-3,"(x^2-4)^3","x-to-the-2-4-to-the-3"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-4-minus-to-minus-the-minus-3,"(x^3+4)^3","x-to-the-3-+-4-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-4-minus-to-minus-the-minus-4,"(x^2+4)^4","x-to-the-2-+-4-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-4-minus-to-minus-the-minus-4,"(x^2-4)^4","x-to-the-2-4-to-the-4"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-4-minus-to-minus-the-minus-4,"(x^3+4)^4","x-to-the-3-+-4-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-4-minus-to-minus-the-minus-5,"(x^2+4)^5","x-to-the-2-+-4-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-4-minus-to-minus-the-minus-5,"(x^2-4)^5","x-to-the-2-4-to-the-5"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-4-minus-to-minus-the-minus-5,"(x^3+4)^5","x-to-the-3-+-4-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-5-minus-to-minus-the-minus-2,"(x^2+5)^2","x-to-the-2-+-5-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-5-minus-to-minus-the-minus-2,"(x^2-5)^2","x-to-the-2-5-to-the-2"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-5-minus-to-minus-the-minus-2,"(x^3+5)^2","x-to-the-3-+-5-to-the-2"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-5-minus-to-minus-the-minus-3,"(x^2+5)^3","x-to-the-2-+-5-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-5-minus-to-minus-the-minus-3,"(x^2-5)^3","x-to-the-2-5-to-the-3"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-5-minus-to-minus-the-minus-3,"(x^3+5)^3","x-to-the-3-+-5-to-the-3"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-5-minus-to-minus-the-minus-4,"(x^2+5)^4","x-to-the-2-+-5-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-5-minus-to-minus-the-minus-4,"(x^2-5)^4","x-to-the-2-5-to-the-4"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-5-minus-to-minus-the-minus-4,"(x^3+5)^4","x-to-the-3-+-5-to-the-4"
derivative-of-x-minus-to-minus-the-minus-2-minus-plus-minus-5-minus-to-minus-the-minus-5,"(x^2+5)^5","x-to-the-2-+-5-to-the-5"
derivative-of-x-minus-to-minus-the-minus-2-minus-5-minus-to-minus-the-minus-5,"(x^2-5)^5","x-to-the-2-5-to-the-5"
derivative-of-x-minus-to-minus-the-minus-3-minus-plus-minus-5-minus-to-minus-the-minus-5,"(x^3+5)^5","x-to-the-3-+-5-to-the-5"
derivative-of-xe-minus-to-minus-the-minus-xsinx,"x*e^x*sin(x)","xe-to-the-xsinx"
derivative-of-xlnxsinx,"x*ln(x)*sin(x)","xlnxsinx"
derivative-of-x-minus-to-minus-the-minus-2e-minus-to-minus-the-minus-xcosx,"x^2*e^x*cos(x)","x-to-the-2e-to-the-xcosx"
derivative-of-tanx-minus-to-minus-the-minus-3,"tan(x)^3","tan(x)-to-the-3"
derivative-of-tanx-minus-to-minus-the-minus-4,"tan(x)^4","tan(x)-to-the-4"
derivative-of-tanx-minus-to-minus-the-minus-5,"tan(x)^5","tan(x)-to-the-5"
derivative-of-tanx-minus-to-minus-the-minus-6,"tan(x)^6","tan(x)-to-the-6"
derivative-of-tanx-minus-to-minus-the-minus-7,"tan(x)^7","tan(x)-to-the-7"
derivative-of-tanx-minus-to-minus-the-minus-8,"tan(x)^8","tan(x)-to-the-8"
derivative-of-tanx-minus-to-minus-the-minus-9,"tan(x)^9","tan(x)-to-the-9"
derivative-of-tanx-minus-to-minus-the-minus-10,"tan(x)^10","tan(x)-to-the-10"
derivative-of-x-minus-to-minus-the-minus-3-minus-over-minus-2,"x^(3/2)","(x-to-the-3-)/(-2)"
derivative-of-x-minus-to-minus-the-minus-5-minus-over-minus-2,"x^(5/2)","(x-to-the-5-)/(-2)"
derivative-of-x-minus-to-minus-the-minus-7-minus-over-minus-2,"x^(7/2)","(x-to-the-7-)/(-2)"
derivative-of-x-minus-to-minus-the-minus-9-minus-over-minus-2,"x^(9/2)","(x-to-the-9-)/(-2)"
derivative-of-x-minus-to-minus-the-minus-11-minus-over-minus-2,"x^(11/2)","(x-to-the-11-)/(-2)"
derivative-of-x-minus-to-minus-the-minus-13-minus-over-minus-2,"x^(13/2)","(x-to-the-13-)/(-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-1-minus-to-minus-the-minus-2,"1/(x^2+1)^2","(1-)/(-x-to-the-2-+-1-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-1-minus-to-minus-the-minus-2,"x/(x^2+1)^2","(x-)/(-x-to-the-2-+-1-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-2,"1/(x^2+2)^2","(1-)/(-x-to-the-2-+-2-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-2-minus-to-minus-the-minus-2,"x/(x^2+2)^2","(x-)/(-x-to-the-2-+-2-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-3-minus-to-minus-the-minus-2,"1/(x^2+3)^2","(1-)/(-x-to-the-2-+-3-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-3-minus-to-minus-the-minus-2,"x/(x^2+3)^2","(x-)/(-x-to-the-2-+-3-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-4-minus-to-minus-the-minus-2,"1/(x^2+4)^2","(1-)/(-x-to-the-2-+-4-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-4-minus-to-minus-the-minus-2,"x/(x^2+4)^2","(x-)/(-x-to-the-2-+-4-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-5-minus-to-minus-the-minus-2,"1/(x^2+5)^2","(1-)/(-x-to-the-2-+-5-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-5-minus-to-minus-the-minus-2,"x/(x^2+5)^2","(x-)/(-x-to-the-2-+-5-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-6-minus-to-minus-the-minus-2,"1/(x^2+6)^2","(1-)/(-x-to-the-2-+-6-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-6-minus-to-minus-the-minus-2,"x/(x^2+6)^2","(x-)/(-x-to-the-2-+-6-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-7-minus-to-minus-the-minus-2,"1/(x^2+7)^2","(1-)/(-x-to-the-2-+-7-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-7-minus-to-minus-the-minus-2,"x/(x^2+7)^2","(x-)/(-x-to-the-2-+-7-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-8-minus-to-minus-the-minus-2,"1/(x^2+8)^2","(1-)/(-x-to-the-2-+-8-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-8-minus-to-minus-the-minus-2,"x/(x^2+8)^2","(x-)/(-x-to-the-2-+-8-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-9-minus-to-minus-the-minus-2,"1/(x^2+9)^2","(1-)/(-x-to-the-2-+-9-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-9-minus-to-minus-the-minus-2,"x/(x^2+9)^2","(x-)/(-x-to-the-2-+-9-to-the-2)"
derivative-of-1-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-10-minus-to-minus-the-minus-2,"1/(x^2+10)^2","(1-)/(-x-to-the-2-+-10-to-the-2)"
derivative-of-x-minus-over-minus-x-minus-to-minus-the-minus-2-minus-plus-minus-10-minus-to-minus-the-minus-2,"x/(x^2+10)^2","(x-)/(-x-to-the-2-+-10-to-the-2)"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-1,"e^(2*x+1)","e-to-the-2x-+-1"
derivative-of-e-minus-to-minus-the-minus-2x-minus-1,"e^(2*x-1)","e-to-the-2x-1"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-2,"e^(2*x+2)","e-to-the-2x-+-2"
derivative-of-e-minus-to-minus-the-minus-2x-minus-2,"e^(2*x-2)","e-to-the-2x-2"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-3,"e^(2*x+3)","e-to-the-2x-+-3"
derivative-of-e-minus-to-minus-the-minus-2x-minus-3,"e^(2*x-3)","e-to-the-2x-3"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-4,"e^(2*x+4)","e-to-the-2x-+-4"
derivative-of-e-minus-to-minus-the-minus-2x-minus-4,"e^(2*x-4)","e-to-the-2x-4"
derivative-of-e-minus-to-minus-the-minus-2x-minus-plus-minus-5,"e^(2*x+5)","e-to-the-2x-+-5"
derivative-of-e-minus-to-minus-the-minus-2x-minus-5,"e^(2*x-5)","e-to-the-2x-5"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-1,"e^(3*x+1)","e-to-the-3x-+-1"
derivative-of-e-minus-to-minus-the-minus-3x-minus-1,"e^(3*x-1)","e-to-the-3x-1"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-2,"e^(3*x+2)","e-to-the-3x-+-2"
derivative-of-e-minus-to-minus-the-minus-3x-minus-2,"e^(3*x-2)","e-to-the-3x-2"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-3,"e^(3*x+3)","e-to-the-3x-+-3"
derivative-of-e-minus-to-minus-the-minus-3x-minus-3,"e^(3*x-3)","e-to-the-3x-3"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-4,"e^(3*x+4)","e-to-the-3x-+-4"
derivative-of-e-minus-to-minus-the-minus-3x-minus-4,"e^(3*x-4)","e-to-the-3x-4"
derivative-of-e-minus-to-minus-the-minus-3x-minus-plus-minus-5,"e^(3*x+5)","e-to-the-3x-+-5"
derivative-of-e-minus-to-minus-the-minus-3x-minus-5,"e^(3*x-5)","e-to-the-3x-5"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-1,"e^(4*x+1)","e-to-the-4x-+-1"
derivative-of-e-minus-to-minus-the-minus-4x-minus-1,"e^(4*x-1)","e-to-the-4x-1"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-2,"e^(4*x+2)","e-to-the-4x-+-2"
derivative-of-e-minus-to-minus-the-minus-4x-minus-2,"e^(4*x-2)","e-to-the-4x-2"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-3,"e^(4*x+3)","e-to-the-4x-+-3"
derivative-of-e-minus-to-minus-the-minus-4x-minus-3,"e^(4*x-3)","e-to-the-4x-3"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-4,"e^(4*x+4)","e-to-the-4x-+-4"
derivative-of-e-minus-to-minus-the-minus-4x-minus-4,"e^(4*x-4)","e-to-the-4x-4"
derivative-of-e-minus-to-minus-the-minus-4x-minus-plus-minus-5,"e^(4*x+5)","e-to-the-4x-+-5"
derivative-of-e-minus-to-minus-the-minus-4x-minus-5,"e^(4*x-5)","e-to-the-4x-5"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-1,"e^(5*x+1)","e-to-the-5x-+-1"
derivative-of-e-minus-to-minus-the-minus-5x-minus-1,"e^(5*x-1)","e-to-the-5x-1"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-2,"e^(5*x+2)","e-to-the-5x-+-2"
derivative-of-e-minus-to-minus-the-minus-5x-minus-2,"e^(5*x-2)","e-to-the-5x-2"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-3,"e^(5*x+3)","e-to-the-5x-+-3"
derivative-of-e-minus-to-minus-the-minus-5x-minus-3,"e^(5*x-3)","e-to-the-5x-3"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-4,"e^(5*x+4)","e-to-the-5x-+-4"
derivative-of-e-minus-to-minus-the-minus-5x-minus-4,"e^(5*x-4)","e-to-the-5x-4"
derivative-of-e-minus-to-minus-the-minus-5x-minus-plus-minus-5,"e^(5*x+5)","e-to-the-5x-+-5"
derivative-of-e-minus-to-minus-the-minus-5x-minus-5,"e^(5*x-5)","e-to-the-5x-5"
derivative-of-sin2x-minus-plus-minus-1,"sin(2*x+1)","sin(2x)-+-1"
derivative-of-cos2x-minus-plus-minus-1,"cos(2*x+1)","cos(2x)-+-1"
derivative-of-sin2x-minus-plus-minus-2,"sin(2*x+2)","sin(2x)-+-2"
derivative-of-cos2x-minus-plus-minus-2,"cos(2*x+2)","cos(2x)-+-2"
derivative-of-sin2x-minus-plus-minus-3,"sin(2*x+3)","sin(2x)-+-3"
derivative-of-cos2x-minus-plus-minus-3,"cos(2*x+3)","cos(2x)-+-3"
derivative-of-sin2x-minus-plus-minus-4,"sin(2*x+4)","sin(2x)-+-4"
derivative-of-cos2x-minus-plus-minus-4,"cos(2*x+4)","cos(2x)-+-4"
derivative-of-sin2x-minus-plus-minus-5,"sin(2*x+5)","sin(2x)-+-5"
derivative-of-cos2x-minus-plus-minus-5,"cos(2*x+5)","cos(2x)-+-5"
derivative-of-sin3x-minus-plus-minus-1,"sin(3*x+1)","sin(3x)-+-1"
derivative-of-cos3x-minus-plus-minus-1,"cos(3*x+1)","cos(3x)-+-1"
derivative-of-sin3x-minus-plus-minus-2,"sin(3*x+2)","sin(3x)-+-2"
derivative-of-cos3x-minus-plus-minus-2,"cos(3*x+2)","cos(3x)-+-2"
derivative-of-sin3x-minus-plus-minus-3,"sin(3*x+3)","sin(3x)-+-3"
derivative-of-cos3x-minus-plus-minus-3,"cos(3*x+3)","cos(3x)-+-3"
derivative-of-sin3x-minus-plus-minus-4,"sin(3*x+4)","sin(3x)-+-4"
derivative-of-cos3x-minus-plus-minus-4,"cos(3*x+4)","cos(3x)-+-4"
derivative-of-sin3x-minus-plus-minus-5,"sin(3*x+5)","sin(3x)-+-5"
derivative-of-cos3x-minus-plus-minus-5,"cos(3*x+5)","cos(3x)-+-5"
derivative-of-sin4x-minus-plus-minus-1,"sin(4*x+1)","sin(4x)-+-1"
derivative-of-cos4x-minus-plus-minus-1,"cos(4*x+1)","cos(4x)-+-1"
derivative-of-sin4x-minus-plus-minus-2,"sin(4*x+2)","sin(4x)-+-2"
derivative-of-cos4x-minus-plus-minus-2,"cos(4*x+2)","cos(4x)-+-2"
derivative-of-sin4x-minus-plus-minus-3,"sin(4*x+3)","sin(4x)-+-3"
derivative-of-cos4x-minus-plus-minus-3,"cos(4*x+3)","cos(4x)-+-3"
derivative-of-sin4x-minus-plus-minus-4,"sin(4*x+4)","sin(4x)-+-4"
derivative-of-cos4x-minus-plus-minus-4,"cos(4*x+4)","cos(4x)-+-4"
derivative-of-sin4x-minus-plus-minus-5,"sin(4*x+5)","sin(4x)-+-5"
derivative-of-cos4x-minus-plus-minus-5,"cos(4*x+5)","cos(4x)-+-5"
derivative-of-sin5x-minus-plus-minus-1,"sin(5*x+1)","sin(5x)-+-1"
derivative-of-cos5x-minus-plus-minus-1,"cos(5*x+1)","cos(5x)-+-1"
derivative-of-sin5x-minus-plus-minus-2,"sin(5*x+2)","sin(5x)-+-2"
derivative-of-cos5x-minus-plus-minus-2,"cos(5*x+2)","cos(5x)-+-2"
derivative-of-sin5x-minus-plus-minus-3,"sin(5*x+3)","sin(5x)-+-3"
derivative-of-cos5x-minus-plus-minus-3,"cos(5*x+3)","cos(5x)-+-3"
derivative-of-sin5x-minus-plus-minus-4,"sin(5*x+4)","sin(5x)-+-4"
derivative-of-cos5x-minus-plus-minus-4,"cos(5*x+4)","cos(5x)-+-4"
derivative-of-sin5x-minus-plus-minus-5,"sin(5*x+5)","sin(5x)-+-5"
derivative-of-cos5x-minus-plus-minus-5,"cos(5*x+5)","cos(5x)-+-5"
derivative-of-asinx-minus-over-minus-2,"asin(x/2)","(asinx-)/(-2)"
derivative-of-acosx-minus-over-minus-2,"acos(x/2)","(acosx-)/(-2)"
derivative-of-atanx-minus-over-minus-2,"atan(x/2)","(atanx-)/(-2)"
derivative-of-asinx-minus-over-minus-3,"asin(x/3)","(asinx-)/(-3)"
derivative-of-acosx-minus-over-minus-3,"acos(x/3)","(acosx-)/(-3)"
derivative-of-atanx-minus-over-minus-3,"atan(x/3)","(atanx-)/(-3)"
derivative-of-asinx-minus-over-minus-4,"asin(x/4)","(asinx-)/(-4)"
derivative-of-acosx-minus-over-minus-4,"acos(x/4)","(acosx-)/(-4)"
derivative-of-atanx-minus-over-minus-4,"atan(x/4)","(atanx-)/(-4)"
derivative-of-asinx-minus-over-minus-5,"asin(x/5)","(asinx-)/(-5)"
derivative-of-acosx-minus-over-minus-5,"acos(x/5)","(acosx-)/(-5)"
derivative-of-atanx-minus-over-minus-5,"atan(x/5)","(atanx-)/(-5)"
derivative-of-asinx-minus-over-minus-6,"asin(x/6)","(asinx-)/(-6)"
derivative-of-acosx-minus-over-minus-6,"acos(x/6)","(acosx-)/(-6)"
derivative-of-atanx-minus-over-minus-6,"atan(x/6)","(atanx-)/(-6)"
derivative-of-asinx-minus-over-minus-7,"asin(x/7)","(asinx-)/(-7)"
derivative-of-acosx-minus-over-minus-7,"acos(x/7)","(acosx-)/(-7)"
derivative-of-atanx-minus-over-minus-7,"atan(x/7)","(atanx-)/(-7)"
derivative-of-asinx-minus-over-minus-8,"asin(x/8)","(asinx-)/(-8)"
derivative-of-acosx-minus-over-minus-8,"acos(x/8)","(acosx-)/(-8)"
derivative-of-atanx-minus-over-minus-8,"atan(x/8)","(atanx-)/(-8)"
derivative-of-asinx-minus-over-minus-9,"asin(x/9)","(asinx-)/(-9)"
derivative-of-acosx-minus-over-minus-9,"acos(x/9)","(acosx-)/(-9)"
derivative-of-atanx-minus-over-minus-9,"atan(x/9)","(atanx-)/(-9)"
derivative-of-asinx-minus-over-minus-10,"asin(x/10)","(asinx-)/(-10)"
derivative-of-acosx-minus-over-minus-10,"acos(x/10)","(acosx-)/(-10)"
derivative-of-atanx-minus-over-minus-10,"atan(x/10)","(atanx-)/(-10)"
integral-of-2x,"2*x","2x"
integral-of-x-+-x3-+-1-over-2tanx,"x + x^3 + 1/2*tan(x)","(parser returned null)"
integral-of-1-over-2sqrtx-+-21-over-sqrt1-x2-+-5lnx,"1/2*sqrt(x) + 2*1/sqrt(1-x^2) + 5*ln(x)","(parser returned null)"
integral-of-1-over-21-over-x2,"1/2*1/x^2","(1/21)/(x^2)"
integral-of-2x4,"2*x^4","2x^4"
integral-of-3x-+-1-over-21-over-x2--secx2,"3*x + 1/2*1/x^2 - sec(x)^2","(parser returned null)"
integral-of-21-over-x2,"2*1/x^2","21/(x^2)"
integral-of-1-over-x-+-sqrtx,"1/x + sqrt(x)","(parser returned null)"
integral-of-1-over-sqrt1-x2,"1/sqrt(1-x^2)","1/(sqrt(1x^2))"
integral-of-2x3-+-4sqrtx,"2*x^3 + 4*sqrt(x)","(parser returned null)"
integral-of-51-over-sqrt1-x2,"5*1/sqrt(1-x^2)","51/(sqrt(1x^2))"
integral-of-2secx2,"2*sec(x)^2","2secx^2"
integral-of-3x-+-41-over-x,"3*x + 4*1/x","(parser returned null)"
integral-of-31-over-x,"3*1/x","31/x"
integral-of-5x4,"5*x^4","5x^4"
integral-of-41-over-sqrt1-x2-+-1-over-2x,"4*1/sqrt(1-x^2) + 1/2*x","(parser returned null)"
integral-of-3lnx-+-sqrtx,"3*ln(x) + sqrt(x)","(parser returned null)"
integral-of-2ex-+-41-over-1+x2-+-1-over-2sinx,"2*e^x + 4*1/(1+x^2) + 1/2*sin(x)","(parser returned null)"
integral-of-51-over-x,"5*1/x","51/x"
integral-of-5lnx-+-lnx,"5*ln(x) + ln(x)","(parser returned null)"
integral-of-51-over-1+x2,"5*1/(1+x^2)","(parser returned null)"
integral-of-1-over-x--x4,"1/x - x^4","1/(xx^4)"
integral-of-5secx2,"5*sec(x)^2","5secx^2"
integral-of-5x2-+-3x2,"5*x^2 + 3*x^2","(parser returned null)"
integral-of-51-over-x-+-1-over-21-over-x-+-2x2,"5*1/x + 1/2*1/x + 2*x^2","(parser returned null)"
integral-of-5x-+-2cosx--lnx,"5*x + 2*cos(x) - ln(x)","(parser returned null)"
integral-of-ex-+-1-over-2x3,"e^x + 1/2*x^3","(parser returned null)"
integral-of-x-+-1-over-2ex-+-4x4,"x + 1/2*e^x + 4*x^4","(parser returned null)"
integral-of-1-over-2x2-+-51-over-1+x2,"1/2*x^2 + 5*1/(1+x^2)","(parser returned null)"
integral-of-2ex,"2*e^x","2ex"
integral-of-2cosx,"2*cos(x)","2cosx"
integral-of-31-over-x2,"3*1/x^2","31/(x^2)"
integral-of-1-over-21-over-sqrt1-x2,"1/2*1/sqrt(1-x^2)","(1/21)/(sqrt(1x^2))"
integral-of-2secx2-+-3x-+-4secx2,"2*sec(x)^2 + 3*x + 4*sec(x)^2","(parser returned null)"
integral-of-4sqrtx-+-2lnx,"4*sqrt(x) + 2*ln(x)","(parser returned null)"
integral-of-cosx-+-3lnx,"cos(x) + 3*ln(x)","(parser returned null)"
integral-of-1-over-21-over-x-+-31-over-x2-+-1-over-2sqrtx,"1/2*1/x + 3*1/x^2 + 1/2*sqrt(x)","(parser returned null)"
integral-of-2x3-+-5x3,"2*x^3 + 5*x^3","(parser returned null)"
integral-of-cosx-+-21-over-sqrt1-x2,"cos(x) + 2*1/sqrt(1-x^2)","(parser returned null)"
integral-of--tanx-+-3x3,"-tan(x) + 3*x^3","(parser returned null)"
integral-of--x2-+-2sinx,"-x^2 + 2*sin(x)","(parser returned null)"
integral-of-2sinx,"2*sin(x)","2sinx"
integral-of-41-over-sqrt1-x2--1-over-1+x2,"4*1/sqrt(1-x^2) - 1/(1+x^2)","(parser returned null)"
integral-of--1-over-1+x2,"-1/(1+x^2)","(parser returned null)"
integral-of-41-over-sqrt1-x2,"4*1/sqrt(1-x^2)","41/(sqrt(1x^2))"
